x,y,SNOW_ON_GROUND,MIN_TEMPERATURE,MAX_TEMPERATURE,SPEED_MAX_GUST_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,HEATING_DEGREE_DAYS,TOTAL_SNOW_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY_FLAG,STATION_NAME,LOCAL_DATE,PROVINCE_CODE,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,ID,CLIMATE_IDENTIFIER,COOLING_DEGREE_DAYS,SNOW_ON_GROUND_FLAG,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,LOCAL_YEAR,SPEED_MAX_GUST,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,LOCAL_MONTH,HEATING_DEGREE_DAYS_FLAG,LOCAL_DAY,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW
-72.45,48.88333333333333,,-26.7,-10.6,,0,,36.7,,2.5,,ALBANEL,1941-01-12 00:00:00,QC,,,,7060080.1941.1.12,7060080,0,,,-18.7,1941,,,,,1,,12,,,,2.5
-72.45,48.88333333333333,,-22.2,-21.1,,0,,39.7,,0,,ALBANEL,1941-01-13 00:00:00,QC,,,,7060080.1941.1.13,7060080,0,,,-21.7,1941,,,,,1,,13,,,,0
-72.45,48.88333333333333,,-31.1,-30.6,,0,,48.9,,0,,ALBANEL,1941-01-14 00:00:00,QC,,,,7060080.1941.1.14,7060080,0,,,-30.9,1941,,,,,1,,14,,,,0
-72.45,48.88333333333333,,-32.8,-22.8,,0,,45.8,,0,,ALBANEL,1941-01-15 00:00:00,QC,,,,7060080.1941.1.15,7060080,0,,,-27.8,1941,,,,,1,,15,,,,0
-72.45,48.88333333333333,,-35,-19.4,,0,,45.2,,0,,ALBANEL,1941-01-16 00:00:00,QC,,,,7060080.1941.1.16,7060080,0,,,-27.2,1941,,,,,1,,16,,,,0
-72.45,48.88333333333333,,-26.7,-10.6,,0,,36.7,,2.5,,ALBANEL,1941-01-17 00:00:00,QC,,,,7060080.1941.1.17,7060080,0,,,-18.7,1941,,,,,1,,17,,,,2.5
-72.45,48.88333333333333,,-6.1,-5.6,,0,,23.9,,5.1,,ALBANEL,1941-01-18 00:00:00,QC,,,,7060080.1941.1.18,7060080,0,,,-5.9,1941,,,,,1,,18,,,,5.1
-72.45,48.88333333333333,,-6.1,-5,,0,,23.6,,2.5,,ALBANEL,1941-01-19 00:00:00,QC,,,,7060080.1941.1.19,7060080,0,,,-5.6,1941,,,,,1,,19,,,,2.5
-72.45,48.88333333333333,,-21.7,-16.7,,0,,37.2,,0,,ALBANEL,1941-01-20 00:00:00,QC,,,,7060080.1941.1.20,7060080,0,,,-19.2,1941,,,,,1,,20,,,,0
-72.45,48.88333333333333,,-23.9,-15.6,,0,,37.8,,0,,ALBANEL,1941-01-21 00:00:00,QC,,,,7060080.1941.1.21,7060080,0,,,-19.8,1941,,,,,1,,21,,,,0
-72.45,48.88333333333333,,-20.6,-8.9,,0,,32.8,,0,,ALBANEL,1941-01-22 00:00:00,QC,,,,7060080.1941.1.22,7060080,0,,,-14.8,1941,,,,,1,,22,,,,0
-72.45,48.88333333333333,,-16.1,-15,,0,,33.6,,0,,ALBANEL,1941-01-23 00:00:00,QC,,,,7060080.1941.1.23,7060080,0,,,-15.6,1941,,,,,1,,23,,,,0
-72.45,48.88333333333333,,-28.3,-19.4,,0,,41.9,,0,,ALBANEL,1941-01-24 00:00:00,QC,,,,7060080.1941.1.24,7060080,0,,,-23.9,1941,,,,,1,,24,,,,0
-72.45,48.88333333333333,,-28.9,-16.7,,0,,40.8,,2.5,,ALBANEL,1941-01-25 00:00:00,QC,,,,7060080.1941.1.25,7060080,0,,,-22.8,1941,,,,,1,,25,,,,2.5
-72.45,48.88333333333333,,-31.1,-21.1,,0,,44.1,,0,,ALBANEL,1941-01-26 00:00:00,QC,,,,7060080.1941.1.26,7060080,0,,,-26.1,1941,,,,,1,,26,,,,0
-72.45,48.88333333333333,,-33.9,-23.3,,0,,46.6,,0,,ALBANEL,1941-01-27 00:00:00,QC,,,,7060080.1941.1.27,7060080,0,,,-28.6,1941,,,,,1,,27,,,,0
-72.45,48.88333333333333,,-34.4,-18.9,,0,,44.7,,0,,ALBANEL,1941-01-28 00:00:00,QC,,,,7060080.1941.1.28,7060080,0,,,-26.7,1941,,,,,1,,28,,,,0
-72.45,48.88333333333333,,-27.2,-18.3,,0,,40.8,,0,,ALBANEL,1941-01-29 00:00:00,QC,,,,7060080.1941.1.29,7060080,0,,,-22.8,1941,,,,,1,,29,,,,0
-72.45,48.88333333333333,,-27.8,-13.3,,0,,38.6,,0,,ALBANEL,1941-01-30 00:00:00,QC,,,,7060080.1941.1.30,7060080,0,,,-20.6,1941,,,,,1,,30,,,,0
-72.45,48.88333333333333,,-16.1,-11.7,,0,,31.9,,0,,ALBANEL,1941-01-31 00:00:00,QC,,,,7060080.1941.1.31,7060080,0,,,-13.9,1941,,,,,1,,31,,,,0
-72.45,48.88333333333333,,-13.3,-7.8,,0,,28.6,,0,,ALBANEL,1941-02-01 00:00:00,QC,,,,7060080.1941.2.1,7060080,0,,,-10.6,1941,,,,,2,,1,,,,0
-72.45,48.88333333333333,,-15,-6.1,,0,,28.6,,0,,ALBANEL,1941-02-02 00:00:00,QC,,,,7060080.1941.2.2,7060080,0,,,-10.6,1941,,,,,2,,2,,,,0
-72.45,48.88333333333333,,-13.3,-2.2,,0,,25.8,,0,,ALBANEL,1941-02-03 00:00:00,QC,,,,7060080.1941.2.3,7060080,0,,,-7.8,1941,,,,,2,,3,,,,0
-72.45,48.88333333333333,,-16.7,-13.9,,0,,33.3,,0,,ALBANEL,1941-02-04 00:00:00,QC,,,,7060080.1941.2.4,7060080,0,,,-15.3,1941,,,,,2,,4,,,,0
-72.45,48.88333333333333,,-20.6,-6.1,,0,,31.4,,0,,ALBANEL,1941-02-05 00:00:00,QC,,,,7060080.1941.2.5,7060080,0,,,-13.4,1941,,,,,2,,5,,,,0
-72.45,48.88333333333333,,-23.9,-8.9,,0,,34.4,,0,,ALBANEL,1941-02-06 00:00:00,QC,,,,7060080.1941.2.6,7060080,0,,,-16.4,1941,,,,,2,,6,,,,0
-72.45,48.88333333333333,,-18.9,-3.9,,0,,29.4,,5.1,,ALBANEL,1941-02-07 00:00:00,QC,,,,7060080.1941.2.7,7060080,0,,,-11.4,1941,,,,,2,,7,,,,5.1
-72.45,48.88333333333333,,-6.1,1.1,,2.3,,20.5,,12.4,,ALBANEL,1941-02-08 00:00:00,QC,,,,7060080.1941.2.8,7060080,0,,,-2.5,1941,,,,,2,,8,,,,10.2
-72.45,48.88333333333333,,-24.4,-21.1,,0,,40.8,,0,,ALBANEL,1941-02-09 00:00:00,QC,,,,7060080.1941.2.9,7060080,0,,,-22.8,1941,,,,,2,,9,,,,0
-72.45,48.88333333333333,,-33.3,-8.3,,0,,38.8,,0,,ALBANEL,1941-02-10 00:00:00,QC,,,,7060080.1941.2.10,7060080,0,,,-20.8,1941,,,,,2,,10,,,,0
