x,y,VISIBILITY_FLAG,TEMP,CLIMATE_IDENTIFIER,WIND_SPEED,STATION_PRESSURE_FLAG,LOCAL_HOUR,PROVINCE_CODE,HUMIDEX_FLAG,STATION_PRESSURE,WEATHER_ENG_DESC,LOCAL_MONTH,UTC_DAY,LOCAL_DATE,UTC_YEAR,WIND_DIRECTION_FLAG,LOCAL_YEAR,HUMIDEX,LOCAL_DAY,UTC_MONTH,DEW_POINT_TEMP_FLAG,WINDCHILL,RELATIVE_HUMIDITY_FLAG,RELATIVE_HUMIDITY,WIND_DIRECTION,PRECIP_AMOUNT,ID,PRECIP_AMOUNT_FLAG,VISIBILITY,WINDCHILL_FLAG,WEATHER_FRE_DESC,UTC_DATE,STATION_NAME,DEW_POINT_TEMP,TEMP_FLAG,WIND_SPEED_FLAG
-73.34944444444444,45.29388888888889,,-15.8,702LED4,23,M,4,QC,,,NA,1,19,2016-01-19 04:00:00,2016,,2016,,19,1,,-26,,84,27,0.1,702LED4.2016.1.19.4,,,,ND,2016-01-19T09:00:00,L'ACADIE,-17.9,,
-73.34944444444444,45.29388888888889,,-16.4,702LED4,27,M,5,QC,,,NA,1,19,2016-01-19 05:00:00,2016,,2016,,19,1,,-27,,85,27,0.2,702LED4.2016.1.19.5,,,,ND,2016-01-19T10:00:00,L'ACADIE,-18.4,,
-73.34944444444444,45.29388888888889,,-16.5,702LED4,29,M,6,QC,,,NA,1,19,2016-01-19 06:00:00,2016,,2016,,19,1,,-28,,84,27,0.2,702LED4.2016.1.19.6,,,,ND,2016-01-19T11:00:00,L'ACADIE,-18.5,,
-73.34944444444444,45.29388888888889,,-16.3,702LED4,25,M,7,QC,,,NA,1,19,2016-01-19 07:00:00,2016,,2016,,19,1,,-27,,86,27,0.3,702LED4.2016.1.19.7,,,,ND,2016-01-19T12:00:00,L'ACADIE,-18.1,,
-73.34944444444444,45.29388888888889,,-16.3,702LED4,27,M,8,QC,,,NA,1,19,2016-01-19 08:00:00,2016,,2016,,19,1,,-27,,86,27,0.5,702LED4.2016.1.19.8,,,,ND,2016-01-19T13:00:00,L'ACADIE,-18.1,,
-73.34944444444444,45.29388888888889,,-16.1,702LED4,24,M,9,QC,,,NA,1,19,2016-01-19 09:00:00,2016,,2016,,19,1,,-26,,86,27,0.3,702LED4.2016.1.19.9,,,,ND,2016-01-19T14:00:00,L'ACADIE,-17.9,,
-73.34944444444444,45.29388888888889,,-15.8,702LED4,25,M,10,QC,,,NA,1,19,2016-01-19 10:00:00,2016,,2016,,19,1,,-26,,85,27,0,702LED4.2016.1.19.10,,,,ND,2016-01-19T15:00:00,L'ACADIE,-17.7,,
-73.34944444444444,45.29388888888889,,-15.6,702LED4,27,M,11,QC,,,NA,1,19,2016-01-19 11:00:00,2016,,2016,,19,1,,-26,,86,27,0.1,702LED4.2016.1.19.11,,,,ND,2016-01-19T16:00:00,L'ACADIE,-17.4,,
-73.34944444444444,45.29388888888889,,-15.3,702LED4,25,M,12,QC,,,NA,1,19,2016-01-19 12:00:00,2016,,2016,,19,1,,-26,,86,26,0.4,702LED4.2016.1.19.12,,,,ND,2016-01-19T17:00:00,L'ACADIE,-17.1,,
-73.34944444444444,45.29388888888889,,-14.7,702LED4,27,M,13,QC,,,NA,1,19,2016-01-19 13:00:00,2016,,2016,,19,1,,-25,,86,27,0.1,702LED4.2016.1.19.13,,,,ND,2016-01-19T18:00:00,L'ACADIE,-16.5,,
